"","lon_deg","lat_deg"
"1",-29.2549078783746,58.497531760437
"2",-32.660645445665,42.9777833328316
"3",-33.7499999995431,35.2643896850394
"4",-35.2073353242478,27.6050026479754
"5",-28.7094567505129,23.8070076721806
"6",-30.2848352867727,15.9045438312602
"7",-24.4538771362455,12.0768987254776
"8",4.66556893732059,52.5833589733677
"9",16.586596697498,39.9747255378545
"10",32.6277872443151,7.42959081439785
"11",40.8548428059962,6.47285963157396
"12",38.6296963864753,13.1041858656681
"13",27.1428967523786,40.0054817804346
"14",22.9835992370099,46.4466190812525
"15",17.8344310618736,52.5833589730785
"16",48.4838156591086,-3.99517991127951
"17",54.1995413678843,8.05491679558302
"18",47.0558168496442,37.6237064720145
"19",42.5883691507378,52.295109697895
"20",61.1526937640444,-4.08713792919147
"21",57.7073353249591,27.6050026484031
"22",73.7424466983094,-4.0853150535697
"23",86.5382200206444,-18.6391916300192
"24",86.4890219331162,34.7976454477058
"25",93.2782823678095,-21.1896109421196
"26",24.1842865871263,59.758556912795
"27",48.2265790094644,66.4175214320954
"28",64.8482557316906,71.9435853508967
"29",86.5232280964308,75.48801388357
"30",55.4151075512462,79.8413809657861
"31",101.249999994086,82.9884517635243
"32",143.521435942619,19.896909399131
"33",40.8548428059281,-6.47285962861907
"34",51.2094567505769,-23.8070076674345
"35",52.7848352867741,-15.9045438259394
"36",53.7494370941976,-50.7134130221278
"37",55.1606454442032,-42.9777833276372
"38",56.2499999984938,-35.2643896801726
"39",11.2499999965519,-86.3874557724482
"40",-168.749999996585,-86.3874557703183
"41",74.5261922040954,-51.9932841110458
"42",101.250000000793,-44.4260057252881
"43",101.24999999896,-24.9099698424391
"44",101.249999999219,-17.9259318960189
"45",101.249999999445,-10.8100218800704
"46",108.684573899129,-29.3975296850141
"47",109.221717630811,-21.189610939807
"48",108.682971730567,-14.3789486730958
"49",108.366091344512,-7.26849384056285
"50",108.682971731384,14.3789486740414
"51",109.221717632036,21.1896109405535
"52",115.961779979886,-18.6391916268807
"53",115.952751791602,-10.5993221759019
"54",115.304448684449,-3.6522458208122
"55",115.304448684728,3.65224582231023
"56",128.757553301691,4.0853150535697
"57",134.417917218683,1.38107232004495e-09
